,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems
153,97.24009213182269,14852.613492979419,15706.715473109201,4.662770828787357e-16,105.3207598903629,11529.48502303968,345.04698345397804,746.3021008244474,2761.883829054095
154,1186.543523090253,1351.8183349050435,11511.63971208449,4.874293607924283e-16,14.34358146964461,4955.031483137488,62.80681606223032,484.75201970007186,917.3764044174569
155,2697.73785117653,1567.1305836627173,14377.567697717252,5.139237811898116e-16,13.410722661913395,9309.678837747659,29.126119312478103,631.7439909100233,980.8370657511681
156,1780.371601908358,1838.0523682778373,13691.788628842978,4.943532170431207e-16,19.772644553457877,9727.82834872414,265.00973873895543,600.9966653857607,1567.6125971889219
157,2390.1023234112513,1359.8387088205543,12798.923772783484,4.0409886420359453e-16,10.470020109151491,7934.381238541634,-1.4279351946697715e-06,562.4258922694319,891.4117937512532
158,2106.1421632718966,1468.2823926753451,12683.005328118878,4.0264872025716676e-16,13.765962140840097,8260.338498228126,18.210935394628894,559.7457628022324,881.7014372912489
159,49.662105427480974,10885.067269047475,15911.271443501462,4.1106752815210915e-16,66.19668626276717,14542.345751998851,304.65122543655133,722.8297470430064,5514.228996813471
160,116.06644915609483,8188.018984386193,15550.576880662533,3.7360901560206653e-16,52.04337439355063,11123.678221461405,297.75088738004484,697.3931561492774,2644.9939425511943
161,28.97023705763473,18677.182799965627,16750.587194755622,4.603058095493797e-16,139.1758789621929,20882.057168001716,344.20176866605914,801.6035819653448,8676.589897570322
162,23.572908298143293,18906.5603311881,14884.026539083048,4.6972270446677625e-16,130.09040574798655,18580.76648005695,312.0281143741388,721.8183044220855,7699.578442520914
163,16.88555997564838,6708.98269396029,7459.124878510487,5.025289330657484e-16,60.920242852376234,7268.152913966548,-6.05549960878875e-05,356.8234988616406,2749.377579493607
164,791.9198394106469,1489.4453710071011,8878.759568054827,4.3181094221260894e-16,14.16910469749006,6006.665340523452,83.32973655316201,399.7509788404285,766.3367007103642
165,189.87328004943322,1989.2777047636066,5551.492650624137,4.1316887176036946e-16,18.015233000112914,5017.9406899838805,112.3958521429254,258.8886517828047,765.9226388214036
166,13.884522471954302,12348.22361520024,14306.125668193092,5.353854050080547e-16,78.26841103374498,15669.619236647659,272.6971825067584,661.7258978947901,6974.9428089008925
167,23.67162293551519,12906.461828988618,16020.035019622474,4.1768935808714656e-16,79.68911373269843,17526.152307323555,309.53823865441774,739.2234854525423,7199.622465416073
168,1531.9247459968192,1893.6315455580761,13759.83470365826,4.7269390762921175e-16,24.20115082659501,8930.04045755429,17.136062872317677,606.1513437667354,965.1210124348878
169,2134.0534814723883,1576.6316091967387,12952.498187647561,5.490802569014376e-16,19.305128675693,8396.609454682566,2.296555004223055,571.2333109290905,900.2924741260642
170,44.047175754323135,9978.637552027421,14632.309173844811,5.145368228667453e-16,60.85750144746586,19266.279149556845,277.41297465627775,662.5544400288798,7825.470989134787
