day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
207,1007.4972024243987,1433.874861592919,9739.523104300937,4.759429007320905e-16,17.707892839085247,60.64160577161854,42.56424785099352,142.96686408180102,-6.966334730122981e-07,8.791205473606547,18.817695741659954,50,2018-07-27
208,1496.0805713197178,1781.9243141117372,14115.821596385202,5.735724240543659e-16,23.766024882073744,108.35552548859019,104.77433412720154,310.5600416388535,-3.036090043792683e-06,21.32688672032484,41.25902653636015,50,2018-07-28
209,183.10287778459798,8736.431542801596,17785.74698557318,5.421145928876973e-16,82.88659956970325,4629.505852421791,3.5155436846920274e-07,12495.035323014072,1.2836493311851883e-06,668.7717803884816,4243.242992065283,50,2018-07-29
210,612.2766445192372,4732.54327209357,18159.246476320674,7.341622901048668e-16,59.75996521871084,78.3312371942788,42.56454936937872,171.19491058421008,-1.444788871253877e-06,9.040434037951414,24.870518987311083,50,2018-07-30
211,446.0901630694552,7330.095484145962,18064.248889098966,7.330152906715912e-16,74.85008494648739,1075.1527304583713,563.1621620626329,2311.0828579969693,-1.3793879688250853e-06,121.13367859498189,343.88419342381053,50,2018-07-31
212,2348.26461092652,2774.360948730902,18032.874576978735,6.784201396347947e-16,27.921536150367643,4402.03065268563,3211.9888768733235,10086.860817954366,-6.566429812551178e-07,661.7804072750046,1249.392476481436,50,2018-08-01
213,32.4792969508809,8048.252341648332,11368.604335545324,5.481521785094686e-16,56.08757972667526,514.4870208328749,333.9682531932171,1273.8114974384143,9.334682965800312e-08,69.89016740499244,196.6763494212196,50,2018-08-02
214,225.31394627232532,1912.6515618934206,8241.578520103318,7.706999260959775e-16,29.14619461300039,2073.17368603538,1493.0344792474193,4771.672718239742,13.534727000925617,313.3602210615686,586.322368933445,50,2018-08-03
215,5.426752318666097,3832.1962066261135,3581.057327880835,3.9944245130727267e-16,24.689131100398082,164.94431458957308,5.999275694753234e-08,348.6079626238212,62.38979828605765,14.957962697949036,150.9611396418375,50,2018-08-04
216,13.227448414618195,2831.688849295959,4179.261315731119,5.685396342242509e-16,24.558482580572235,5130.873002733364,1.6671893358967334e-07,10778.298887178466,1.8127425340708213e-07,450.64190325772705,4351.783911753287,50,2018-08-05
217,679.7232470042434,1518.9007399554996,8884.056482826172,6.828876197619393e-16,15.61775306028506,-7.960410127088836e-05,-5.60674927328364e-07,-5.536647341068601e-05,7.996469371391867e-07,-2.450217467071525e-06,-1.3511565530279768e-05,50,2018-08-06
218,69.40253403093577,595.5342490499376,2156.5968913139573,2.4134789893696314e-16,7.058356036055537,62.50879100918013,32.741760837925526,134.36496135372724,-1.4783964186904085e-06,7.009636020470915,20.196639500270848,50,2018-08-07
219,5.029278856955943,2114.266905910608,2305.0198461013915,2.294854490314809e-16,19.297518646980198,224.44662912470932,3.17988259452828e-08,327.6566536463529,-2.4252883016515624e-05,14.542549639131822,132.56183121265545,50,2018-08-08
