day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
100,149.44090333523837,5895.122093180439,11409.194205120872,4.276030115466884e-16,41.97342408869746,22565.42270986726,238.0693206184039,746.9030642719702,9650.254543831408,12.25,2018-04-11
101,171.3351296635075,4977.224654450412,11073.370601981165,4.601901937303912e-16,37.17808912206031,15106.812659150222,234.71227193853244,729.8418847960909,7156.527958335165,16.5,2018-04-12
102,4484.973209019367,637.3174503684727,10149.81821471997,4.0532631571600486e-16,0.8085931632290855,10200.106476670984,15.627473984757684,587.6383238789041,1286.1372856169598,4.25,2018-04-13
103,93.22889539397886,6455.7356606962385,11590.479648735547,3.7213064630272305e-16,45.90248397022523,14917.343251090611,242.82715169518738,754.4396170011627,6472.9059905090935,12.25,2018-04-14
104,302.818043882233,4034.880326416085,10550.239324520466,4.123617699750901e-16,39.49469694846098,11231.092706101714,229.6169127166906,686.6500856032876,2748.5444058475127,12.75,2018-04-15
105,609.0651052428013,3306.2589335384273,10686.029556572252,3.9651535473370406e-16,24.062662837795493,20812.732972370344,223.14639290191553,684.468178403495,8613.227314512955,12.5,2018-04-16
106,482.2582311695843,4789.755111057436,11481.355949561035,3.78459216505637e-16,33.85044345103511,21890.326550180485,238.19498289133315,744.606573906594,8903.62460006117,11.5,2018-04-17
107,3905.023426108687,704.2422812908341,10314.425600345457,4.792413608300839e-16,1.6578750241976206,9839.278187642241,9.818826414694795,636.0395955775668,1131.8721902100895,3.25,2018-04-18
108,123.44458542080102,6055.386668186749,11646.260228177682,4.1480349097075193e-16,49.4845588710136,19431.508933365258,243.564861968447,765.656226292335,9268.565334550187,12.75,2018-04-19
109,40.63756996995313,9519.00327061558,11858.05851762115,3.8516474253354085e-16,64.71994197360473,22511.945143625322,245.82139187827426,800.4884221013049,9251.759302041064,12.75,2018-04-20
110,100.63151005491146,5987.068306658624,11485.99589442712,3.7928757089956835e-16,38.81781906086612,14751.427153210476,240.39330609268978,743.2955772522583,6339.59338411306,12.25,2018-04-21
111,329.84184428762535,4703.316450618879,11142.287859706807,3.4630221963731925e-16,43.442396525480405,11088.100705082132,242.2573699460592,733.8027521558186,2602.4348108460317,10.75,2018-04-22
112,88.13297001172974,8268.836681862222,12526.21316558598,3.886388933142412e-16,55.22432130861901,23180.816106676517,259.8634617999258,827.4709182231442,9574.522399837377,10.75,2018-04-23
113,175.09836969841518,6091.807473665009,11936.536752129576,4.046465654367383e-16,47.48341741161615,22988.60700431094,248.29348905004525,781.8514667280408,9271.915641862915,12.25,2018-04-24
114,103.48433031681556,6616.057543094281,11450.521787395068,3.5546111461237777e-16,40.6518904692483,21946.328758583924,238.0962180641353,759.2032084383409,9082.27292829787,12.5,2018-04-25
