day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
109,3122.1995880537165,129011.8659230513,197975.21777563484,0.0,856.0319974190306,249410.62785923464,0.0,366700.45636777487,4110.686097733313,12994.727657490352,151314.42861754625,10.0
110,9193.220993552535,75247.83818767378,189851.98450123717,0.0,678.0475678280629,126353.23356961872,0.0,223908.23933997977,4034.832847696425,11987.832797421286,93325.749997723,9.0
111,8548.616864742877,78458.95017620684,184690.42511141737,0.0,728.4720269290049,126680.90227660858,0.0,179150.99532420977,4023.605778307714,11812.965661707389,41451.831092456116,9.0
112,972.1524632959514,168206.9745629284,198297.45239090337,0.0,1130.9331922146823,249217.15871385924,0.0,366341.20178417646,4204.6905038324185,13159.315092640556,150957.3895578322,10.0
113,6802.249591749821,89287.20402100272,199494.70765742657,0.0,708.2354529588544,253068.5720433099,0.0,372105.9657018049,4168.290054651398,12786.819856894885,153220.78746797983,10.0
114,4738.373411720287,94061.01150406126,185423.2906342634,0.0,675.4769874213164,234898.2835806492,0.0,345189.81846108683,3864.5170796267,12080.882093133469,142061.28559191123,10.0
115,10100.88101432575,55385.23160807199,181121.13404273702,0.0,502.0344099083745,178364.0086891243,0.0,293135.3732153658,3809.509663006965,11306.58109285798,136451.80099278397,9.25
116,1984.7531471612526,119939.30953351269,191507.38892378498,0.0,704.4647652678154,242304.3483363306,0.0,355800.35788055335,3984.5820265709976,12624.882090154008,146290.93689200777,10.0
117,4855.341351354209,66225.33628576582,188541.80550690435,0.0,711.3328347575961,127540.1432536014,0.0,234438.60617705417,3992.743710950703,11763.15629127924,99761.23419610182,10.0
118,13858.205131557152,43884.49525870776,179689.15712055776,0.0,555.6589212945632,125209.856760313,0.0,178042.61857136368,3939.1506985365904,10931.32810246784,41368.166334341826,9.25
119,3236.162662415914,91317.98432134966,190763.55322598186,0.0,721.8348537068647,244162.3515148,0.0,354771.78541182494,3979.4432981438686,12353.626994202421,146953.89017689752,10.75
120,2002.6065104166717,103450.56034315194,175945.7856880968,0.0,653.2408176270653,224353.89882111692,0.0,326055.58288053784,3655.2898580828964,11534.231173969802,135078.33152358705,11.0
121,1450.3392320341538,114887.03689086848,179134.87556569144,0.0,696.0557976418032,227822.5818576577,0.0,332144.573466495,3717.519387247775,11773.880307995485,137290.22627895285,10.5
122,11360.059016358271,40352.77248094391,168211.9111845268,0.0,426.7748963703031,170519.97919924668,0.0,275956.299983215,3544.2829278912886,10199.904344748917,130175.72584566745,10.0
123,2372.56598532687,110287.20438287167,177006.68728667987,0.0,727.4329583983192,225128.31364741147,0.0,329419.76596293936,3684.812335739573,11591.45934551651,135556.95594013692,10.25
