day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
169,2050.99790886857,28671.196809650806,65633.97204116081,0.0,235.52581510286026,59651.72945893415,0.0,90001.7328947905,1252.1122334478048,2878.559668631337,36818.14781000982,11.25
170,995.6804705075491,34905.94845834494,64873.17905726975,0.0,235.78308743616205,59115.287473232296,0.0,88841.36840551159,1232.0431663652737,2911.08696079171,36481.9698531156,11.5
171,99.46710897427681,45486.92718414405,67580.06561330371,0.0,282.02047707536167,49298.09626086132,0.0,80012.61962056533,1284.1714358801792,3035.857910326956,37088.40657365358,12.75
172,155.600399598035,59875.93514520637,68329.19816498387,0.0,386.46206927738945,59334.30216462993,0.0,90534.93371174586,1287.8801450120563,3162.6942645894765,37345.45499123454,10.5
173,74.81236712178283,97464.53467913235,68747.4779631726,0.0,474.9649992698274,36624.93546267711,0.0,75954.93867452467,1559.7715183934583,3245.098445978818,35368.789489814844,10.75
174,98.99007276231667,70264.38393320495,66702.62177009133,0.0,444.8488078704145,36049.50830748433,0.0,74662.83144841419,1346.0479954728628,3083.5236886127004,33436.57062745061,11.0
175,211.7732674724331,52244.91578875565,66375.41844911332,0.0,388.6207514552124,58675.24624436475,0.0,89264.54433936233,1257.5476998396975,3021.96984760796,36698.817111974255,10.75
176,248.43238209619886,51372.135294461026,67082.10883160698,0.0,313.74666140351235,58324.15454357746,0.0,88994.27904339891,1265.7706929162907,3087.448381821206,36702.88051966574,10.5
177,568.4930257153991,42267.22586411077,66741.35430660103,0.0,320.1477000059964,58471.59631445249,0.0,89060.5271918878,1269.2408994130374,3055.771273566081,37105.58050558214,10.5
178,210.99751877312758,46999.09592561515,66500.70488078188,0.0,264.2368863455778,47450.78967554617,0.0,79152.38718162298,1262.8435189589775,3003.7932246979326,36903.469580149016,11.0
179,4005.354276553967,5351.253223005419,59800.517701387216,0.0,77.5030270642918,24796.099007237957,9222.563670018646,46302.579217260645,1164.4306786701688,2413.1644836712185,6716.582129171467,5.25
180,3958.7903610183535,5288.832849748285,58278.35439281372,0.0,76.16607428421297,15648.968819811638,12073.753474739437,36370.92247177992,1139.6643853854425,2400.8806537887585,4337.661824385714,5.0
181,2983.983767460162,11903.54091161738,61384.33457600246,0.0,193.3879244794143,15131.075015816396,12982.198016419376,42919.16229717817,1267.4218747582843,2699.3624623674236,5715.307720067488,21.25
182,105.95889904279784,52986.325680176335,66860.93291490452,0.0,423.8870874508771,61185.77942287558,0.0,91183.9446149164,1263.9400955374647,3078.546998701958,36958.65884981067,12.0
183,28.296291005067825,69338.73436652639,67920.64265366936,0.0,521.4315474998037,62018.1580418154,0.0,90907.94682152485,1277.3060672569768,3210.9969363532373,36609.12920496764,12.75
