day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
165,297.36429285973156,20534.550462379077,31.799259606282913,4891.611881431827,1497.5021538272633,30458.061447330336,687.2210829428,1597.7431340150986,41332.651185854695,2926.4143544670055,12.75
166,6815.547717239183,4781.277234142647,989.1146785266067,1124.409837098605,1550.7370782854805,6805.532403733543,36.02851357938764,3172.6473086808996,2135.0429892834977,1497.7433163159442,2.75
167,1010.7852104608887,17852.239084033186,69.61547487883853,4130.049410503781,1426.724450087333,39847.23422670847,934.2758782400844,1431.5006295919973,56153.804857797986,3149.025442915041,11.0
168,681.9545397111716,20031.4118063199,38.570695508213824,4591.344147172283,1397.8376391545391,36287.91279482818,898.8875590583476,1377.2175684058855,54027.37916597883,3030.523111239034,11.0
169,3574.107210598668,5885.443950053201,362.45850376411613,1283.3524788975992,1378.0759712721956,32869.81708484085,875.160075744746,1338.904112885593,52595.73270087787,2956.5496413276246,11.25
170,6319.915703688991,4250.198208853231,832.5851144004522,933.2593153962498,1354.215219049189,35786.31380145276,880.0697178636145,1352.2879530402956,52907.23744488088,2955.028792223583,10.5
171,1571.061264936604,10750.121565038871,166.15398132484805,2509.295113563133,1421.1197951095328,34427.30739077611,830.1686468934356,1360.401472719571,49902.263005367655,2973.67796495485,11.75
172,527.0281734464872,27332.34639284636,32.93427294154328,6228.7310044915985,1394.4373449166078,37822.9835123282,921.3952831822342,1483.1183125900077,55397.40471691368,3073.111123444913,10.0
173,97.11913661452947,73636.33046653272,1.7471205354349093,15804.660208805513,1389.028912911521,36418.05685823542,928.2330629816523,1493.2913018111362,55808.5299077451,3096.228267114733,10.0
174,153.41343484475925,46152.56105261861,4.590997706119273,10869.727311952975,1370.440999326474,34347.35747371685,921.3489877326006,1482.1046553183257,55394.59234098776,3072.951970730247,10.0
175,775.9607431736742,20685.049027240217,37.76914500368146,4898.931211389361,1371.016302612714,38314.298136216654,900.5239772947635,1385.5894903019437,54142.51047705635,3018.243267436862,10.25
176,905.0559918861826,18767.542738344833,64.41944019811638,4446.768881701691,1377.398198141369,37862.75556506917,908.1100387759141,1522.9105106312277,54598.55656397505,3013.6530929761857,9.75
177,662.1790219348997,17032.04884987905,42.17573573050765,4002.093146075142,1392.1899817088781,35459.639936912,888.3984435870022,1359.187912083782,53391.13169754017,3000.9435876919274,11.25
178,1336.4409625193205,11831.453970515571,115.32961637693747,2709.3290347128323,1375.2690917202556,35809.66452891055,902.8050451394647,1450.484088399436,54279.7241849208,3011.9610572461456,10.0
179,8700.918765535036,3149.07072141443,1413.0646774305346,704.5481719183733,1823.2414895112965,21923.37830969764,130.39142444984,5769.266294017289,7812.323203090564,1855.8628565450874,5.0
180,1771.470392303625,5866.452452496143,281.92292021127776,1304.155310134671,1651.808470994561,11612.13208659683,145.50233669212363,5804.8456061418665,8716.590622694494,1950.0124499933268,5.25
181,437.76870635749015,29078.672835411933,11.133958784440729,7219.513771991089,3202.242110694938,40291.00051825121,23.712374338407276,3588.9480014831533,1378.0547121692841,7445.695348565894,21.25
182,93.26053679570762,35819.60855904603,4.092304672306182,8389.091599875486,1404.8943053894627,29077.89394837019,786.3826430758866,1340.4644051316075,47327.85818451532,2886.0112598806722,12.0
183,91.2153045574029,34529.198057979855,5.859086245974547,8080.3926700479615,1413.1122319614262,32245.34977443341,822.2236503990182,1354.5070353457384,49482.86170388191,2930.981817038686,11.75
184,192.31594669281452,29305.697487959962,9.080590944108364,6798.438546175066,1375.5725303054055,31364.947465410714,834.958966849232,1328.1554329686041,50247.650836898654,2890.0678744417028,11.5
185,159.00714550078476,33510.81429207754,0.5015986059658182,8091.997428373551,3319.840785218346,39909.9207836747,24.979203796996366,3769.9837422598403,1451.6425884429264,7841.387980317715,21.0
186,500.7770070134319,17280.33647944073,23.974650651393457,4066.478881636286,1543.0414767341722,9973.381644266241,22.2973607000291,2522.013771399673,1292.8752979233495,2191.0630499287095,1.0
187,489.9502640579396,16660.524864146024,38.68740265634836,3966.568458707038,1565.404212807637,6161.5518518628205,41.01079500207418,3493.978988261643,2427.7334756307573,1480.2561787409572,3.0
188,117.4044854512,36076.06714176322,0.20339005069090907,8853.469923417268,3358.3297372966654,41243.636513219564,24.59469974878546,3708.7362183284513,1429.325615130866,7715.755132447903,21.0
189,0.0,70832.94409028746,0.0,16744.350620752197,3626.56692840658,39636.14654056574,32.03180223090619,4957.029676221623,1882.3301733332069,7806.314891501448,20.0
190,407.0882857348174,17398.119657795844,12.865195525440729,4197.686190746611,1563.9028068239174,7036.345050697082,26.02327272387637,2618.0499044204753,1518.4487624596977,1673.0046924880082,2.0
191,30.923520159450913,55842.13958093354,0.0,13543.563039476952,3623.863293518466,45063.14650764188,31.88942919542255,4929.240784152939,1874.0098253428598,7763.447895942705,20.0
192,1542.5551808082218,10279.793888809563,191.34073982595422,2487.809763427386,1583.0754183784993,9526.590264702885,55.22872806941963,4222.740261452744,3294.064921963241,1472.4380346841076,3.5
193,158.56869466293819,44844.92438278294,2.664700221266182,11041.864253749909,3245.7548938777227,41729.50144597836,24.652811191839994,3736.155909028929,1432.6096864826889,7754.759920435737,21.0
