day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shift,date
156,299.0848032117911,868.907706079845,34.034099069949896,197.97554351308605,165.11503131929769,3527.8104256196207,105.26196381698983,161.5942627292912,6348.7836917849945,351.0796992517043,12.75,2018-06-06
157,253.61273195419872,997.2801828974493,29.65854838462965,230.8408411342131,168.76907882981916,4241.264294613413,107.06460609564454,164.36161651874914,6457.309364363916,357.0810633933646,13.0,2018-06-07
158,729.4247297668512,505.0424147165532,91.33745189906105,119.93163399078618,190.23323862489005,874.3990499958708,2.7319284024025836,337.84840379543743,159.6800962858922,255.36027534573086,1.75,2018-06-08
159,57.99175722914853,2881.57414552905,5.213781597042884,690.0484183513387,229.77221957738703,3785.3875616160713,66.59003692061007,282.4588433613259,4006.644156786237,354.4554678948815,15.0,2018-06-09
160,97.18559443422392,2125.1749198529783,7.857161649551052,503.60660127077085,168.08712406638708,4760.13006591585,109.06487307273201,167.43236064706247,6572.61896797769,363.4575063776777,12.5,2018-06-10
161,1.8933116059936672e-07,5737.577218393066,0.663239358221059,1305.1576307702667,185.990888000261,4395.941454051715,82.62050652414526,169.599434556166,4982.890122756525,367.58344369347844,14.0,2018-06-11
162,9.62785588051289e-08,9471.770667959576,6.538055565020254e-10,2059.2619513480163,167.29161818799983,2690.457922340497,74.23831599209933,152.39287361529375,4520.193077459077,333.45069641884186,13.25,2018-06-12
163,9.822575784316078e-08,5686.960183594559,0.07204422907161305,1277.1761499725105,131.75899449065838,3547.191247842637,83.99726280300482,128.94948069767855,5182.126957136796,286.5650456790049,12.75,2018-06-13
164,18.304437581500824,2657.8773802131304,0.896543594019493,620.7815318269553,135.6768868967149,3214.257214271913,87.11412399015424,133.73437642441033,5351.699173564269,295.9421800785692,12.75,2018-06-14
165,74.37877263551827,657.3188682235223,6.469256482722019,161.3071950408125,152.25730617022862,2354.597199501734,1.0605349641580522,195.1382237683551,69.35261492582143,414.8648272510545,22.0,2018-06-15
166,10.074804823312704,3870.1353224714194,0.7953791885773396,897.1870119690983,158.01520386727694,4410.992880162616,103.0457143923117,158.19195472448428,6213.126147718164,343.5779928399118,13.0,2018-06-16
167,103.91356981798002,2451.2228719497944,5.398107727035539,565.3553445548578,172.35384716372567,4737.803310642786,112.39630730667304,172.54663782841737,6782.888548397121,375.0851490240756,12.25,2018-06-17
168,4.855473275912795,3682.3717921885186,2.6567681539539323,843.6611871351506,167.1015314923496,3926.3362754424666,106.8203964062767,163.98670055655936,6450.527136314946,356.705970395924,12.75,2018-06-18
169,688.433952722302,707.2609280317175,73.89168787187702,171.85857141669837,171.52535016356862,488.6681518642249,2.4991555118076008,257.24637346687194,146.3167356051392,194.1120692866227,2.25,2018-06-19
170,244.05152956569341,881.3499844868653,29.71813355131354,196.79624064283655,158.78467451402474,3934.3698140974366,100.73065136507542,154.63795843183533,6077.46793398509,336.07628846372216,13.0,2018-06-20
171,95.7933454378444,1628.6642257541741,12.707269208235504,384.32849800677224,174.25853926873543,3491.3911313393933,77.48773372090871,159.063123734105,4687.98435822048,345.82850718915114,13.25,2018-06-21
172,1.3477624667949068e-07,7455.902356572609,0.07952845135276763,1627.9366932830947,155.95426834947554,3300.0909130925593,69.34835419291025,142.3549926428956,4220.202833128638,311.32067290309243,13.5,2018-06-22
173,4.100922782333123e-08,12697.382094929962,2.596384562931632e-10,2576.906527227647,158.20159239282364,3973.1882960834196,103.2249898399135,158.4671798674377,6226.691816499625,344.3281671661881,12.5,2018-06-23
174,2.182803802347785e-09,8007.1070293859775,1.9458101427556979e-10,1857.5361745878315,155.5764775015449,4225.843126473025,101.28541900764225,155.48961201352463,6111.382707030517,337.9517201346495,12.75,2018-06-24
175,6.385839030676321e-08,5925.324867843348,3.3401550368932786e-10,1386.7781551785424,169.12768934659528,3193.619886178312,75.0913163127633,154.1438719030395,4535.446929066493,334.57595423417246,14.0,2018-06-25
176,2.696399515513717,4360.021783892722,0.43490137997646,1011.8326060205914,159.08551763537483,4135.179745090554,101.41811216071041,155.6933171380772,6118.165584758583,338.3267274710191,13.0,2018-06-26
